"gene","trait","GS","pVal","moduleMembership","degree","module","hubGeneSignificance","moduleSignificance"
"C1orf162.128346","ips_ctla4_pos_pd1_neg",0.201689110911108,3.5663167762403e-05,0.843848106474695,254.362120741919,"turquoise",0.00223266155411915,0.1388540244247
"C1orf38.9473","ips_ctla4_pos_pd1_neg",0.208642824272433,1.87223042821626e-05,0.871506460591263,274.653383348318,"turquoise",0.00223266155411915,0.1388540244247
"CCL4.6351","ips_ctla4_pos_pd1_neg",0.244681808047962,4.64797664559161e-07,0.810979272465158,225.170894771461,"turquoise",0.00223266155411915,0.1388540244247
"CCR4.1233","ips_ctla4_pos_pd1_neg",0.209676752227853,1.6980047989559e-05,0.812357122989904,226.306294535138,"turquoise",0.00223266155411915,0.1388540244247
"CCR5.1234","ips_ctla4_pos_pd1_neg",0.273294827650523,1.58715091759256e-08,0.897734946292316,299.953750221412,"turquoise",0.00223266155411915,0.1388540244247
"CD247.919","ips_ctla4_pos_pd1_neg",0.410188441529633,3.12056309010762e-18,0.837322576824586,249.157943428501,"turquoise",0.00223266155411915,0.1388540244247
"CD2.914","ips_ctla4_pos_pd1_neg",0.408987968429793,3.99195522139839e-18,0.895956341187886,295.529423731104,"turquoise",0.00223266155411915,0.1388540244247
"CD37.951","ips_ctla4_pos_pd1_neg",0.267720425144739,3.16349233453528e-08,0.901004715295196,307.573973162806,"turquoise",0.00223266155411915,0.1388540244247
"CD3D.915","ips_ctla4_pos_pd1_neg",0.431872887971618,3.06553877032056e-20,0.873281904349343,277.204212867851,"turquoise",0.00223266155411915,0.1388540244247
"CD3E.916","ips_ctla4_pos_pd1_neg",0.417031971356685,7.52028315253945e-19,0.897799669967419,300.538555200481,"turquoise",0.00223266155411915,0.1388540244247
"CD48.962","ips_ctla4_pos_pd1_neg",0.29460528025516,9.8153647849835e-10,0.893135185987261,291.527844242231,"turquoise",0.00223266155411915,0.1388540244247
"CD52.1043","ips_ctla4_pos_pd1_neg",0.276463478383173,1.06489728953694e-08,0.851339078284133,257.328633398402,"turquoise",0.00223266155411915,0.1388540244247
"CD53.963","ips_ctla4_pos_pd1_neg",0.202139922959879,3.42264889766724e-05,0.94750401511888,348.087320821957,"turquoise",0.00223266155411915,0.1388540244247
"CD5.921","ips_ctla4_pos_pd1_neg",0.342006184957435,8.38935986666075e-13,0.85360719874397,264.088946522272,"turquoise",0.00223266155411915,0.1388540244247
"CD6.923","ips_ctla4_pos_pd1_neg",0.386505097590005,3.35870288460151e-16,0.808091180354304,226.001346656662,"turquoise",0.00223266155411915,0.1388540244247
"CD72.971","ips_ctla4_pos_pd1_neg",0.222903631488782,4.66206188011208e-06,0.824437960268555,233.77087131183,"turquoise",0.00223266155411915,0.1388540244247
"CD74.972","ips_ctla4_pos_pd1_neg",0.280080215280125,6.71083467967934e-09,0.877204439105709,282.904688270394,"turquoise",0.00223266155411915,0.1388540244247
"CD96.10225","ips_ctla4_pos_pd1_neg",0.317264180359466,3.91343711739925e-11,0.828814456399025,241.179163610546,"turquoise",0.00223266155411915,0.1388540244247
"CIITA.4261","ips_ctla4_pos_pd1_neg",0.296549534146245,7.52524279824078e-10,0.843857439847541,248.724902750324,"turquoise",0.00223266155411915,0.1388540244247
"CORO1A.11151","ips_ctla4_pos_pd1_neg",0.359900835121513,4.17529063768672e-14,0.895091106347063,298.148277655949,"turquoise",0.00223266155411915,0.1388540244247
"CSF2RA.1438","ips_ctla4_pos_pd1_neg",0.210541873701698,1.56416563692978e-05,0.85581426592471,255.102510443762,"turquoise",0.00223266155411915,0.1388540244247
"CST7.8530","ips_ctla4_pos_pd1_neg",0.365672710591154,1.52247763465411e-14,0.87580892581905,270.762825508327,"turquoise",0.00223266155411915,0.1388540244247
"CTSS.1520","ips_ctla4_pos_pd1_neg",0.215112971100486,1.00793029629315e-05,0.882134774530683,285.645487302082,"turquoise",0.00223266155411915,0.1388540244247
